_ts,tag,traj_tag,n_expert_safe,n_unsafe,n_safe,sigma,deep_margin,path
2026-05-19T12:00:13,sig0.10_marg1.5_n1500_synU3000_bboxOv__af3ee2,legacy_set_02_src__src,33344,3000,1500,0.1,1.5,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/datasets/sig0.10_marg1.5_n1500_synU3000_bboxOv__af3ee2
2026-05-19T12:28:08,sig0.10_marg1.5_n1500_synU3000_bboxOv_subE2000__6f59c8,legacy_set_02_src__src,857,3000,1500,0.1,1.5,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/datasets/sig0.10_marg1.5_n1500_synU3000_bboxOv_subE2000__6f59c8
2026-05-19T12:33:33,sig0.10_marg1.5_n1500_synU3000_bboxOv_subE5000__39b45c,legacy_set_02_src__src,2210,3000,1500,0.1,1.5,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/datasets/sig0.10_marg1.5_n1500_synU3000_bboxOv_subE5000__39b45c
2026-05-19T12:43:43,sig0.10_marg1.1_n4000_synU3000_bboxOv_subE5000_neu600__db9ad1,legacy_set_02_src__src,2210,3000,4000,0.1,1.05,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/datasets/sig0.10_marg1.1_n4000_synU3000_bboxOv_subE5000_neu600__db9ad1
2026-05-19T12:59:29,sig0.10_marg1.2_n4000_synU3000_bboxOv_subE5000_neu600__2627ee,legacy_set_02_src__src,2210,3000,4000,0.1,1.25,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/datasets/sig0.10_marg1.2_n4000_synU3000_bboxOv_subE5000_neu600__2627ee
