x,y,theta,v,omega
2.446951,2.997342,-0.793726,0.436256,-1.532749
2.475043,2.96402,-0.947001,0.441482,-1.21716
2.840056,2.060213,-0.776445,0.450039,-0.563427
2.871257,2.027789,-0.832788,0.474205,-0.700857
2.901907,1.991618,-0.902873,0.450327,-0.872554
2.928222,1.955091,-0.990129,0.474093,-1.019362
3.011288,1.188159,-1.697987,0.5,0.118519
3.00524,1.138526,-1.686135,0.5,0.111188
2.999762,1.088827,-1.675016,0.490662,0.432115
2.995713,1.039932,-1.631805,0.5,0.214633
2.9932,0.989996,-1.610341,0.494321,0.174016
2.991676,0.940588,-1.59294,0.484272,0.119153
2.989001,0.793766,-1.630414,0.443551,-0.679783
2.984856,0.749613,-1.698393,0.473292,-0.788686
2.976989,0.702955,-1.777261,0.443976,-1.315947
2.926277,0.588668,-2.224091,0.41155,-1.697066
2.864146,0.530543,-2.534865,0.435076,-1.158831
2.449382,0.536465,-0.476943,0.489765,0.78292
2.978012,1.804887,1.592034,0.482666,-0.042684
2.81419,3.050615,2.12223,0.5,-0.319537
2.788679,3.093615,2.090277,0.495758,-0.254435
2.764618,3.136959,2.064833,0.463066,-0.667032
2.724793,3.224569,1.933719,0.449173,-0.700938
2.710331,3.267085,1.863626,0.478499,-0.684701
2.688338,3.362367,1.73939,0.489579,-0.475553
2.697708,4.388379,1.584791,0.5,0.045918
2.696893,4.438372,1.589383,0.499786,-0.182482
2.832444,4.875283,0.633759,0.425404,-1.416206
4.691162,4.843138,-0.528814,0.407326,-1.236581
5.823437,1.661702,1.774493,0.481869,-0.221575
5.814213,1.708997,1.752336,0.5,-0.443295
5.806279,1.758359,1.708006,0.46757,-0.283216
5.80054,1.804761,1.679685,0.482486,-0.386123
5.796224,1.852813,1.641072,0.4732,-0.237284
5.793461,1.900052,1.617344,0.489864,-0.108385
5.787749,2.145172,1.595141,0.5,0.143066
5.786175,2.195147,1.609447,0.5,-0.167003
5.78466,2.245123,1.592747,0.483818,0.028141
5.78353,2.293492,1.595561,0.5,0.088841
5.78207,2.343471,1.604445,0.46902,0.090788
5.780279,2.390338,1.613524,0.5,-0.050005
5.778268,2.440298,1.608523,0.476481,0.118592
5.776189,2.4879,1.620383,0.491085,0.123916
5.773451,2.536932,1.632774,0.5,0.047093
5.770237,2.586828,1.637484,0.471316,-0.093892
5.767317,2.633869,1.628094,0.463392,-0.033737
5.722631,3.365632,1.648312,0.46681,-0.149194
5.673722,3.747895,1.933364,0.462707,1.20919
5.654739,3.790061,2.054283,0.43513,1.361559
5.785286,0.254933,1.988284,0.244524,2.0
5.77321,0.276148,2.188284,0.266955,2.0
5.755687,0.296229,2.388284,0.310252,2.0
1.722407,3.086818,1.420231,0.220192,-2.0
3.244542,3.727891,-0.038367,0.487138,-0.199281
4.144643,3.35066,-0.83618,0.498352,-0.17276
4.177726,3.313391,-0.853456,0.5,-0.020687
4.210557,3.275679,-0.855525,0.5,0.142747
4.243616,3.238168,-0.84125,0.5,0.137622
5.036654,2.497395,-0.524671,0.5,0.507453
5.700778,5.816681,-1.923656,0.460158,0.87848
5.686792,5.772858,-1.835808,0.420471,0.684125
5.647058,3.308955,-2.12359,0.423696,-1.624305
5.000649,3.180708,-3.248715,0.464281,0.094371
4.954464,3.185455,-3.239278,0.5,0.102626
4.904679,3.190076,-3.229016,0.5,-0.01466
4.854873,3.194478,-3.230482,0.5,0.220553
4.805025,3.198367,-3.208426,0.5,0.144223
4.655236,3.206264,-3.182657,0.5,0.233875
4.605259,3.207733,-3.15927,0.5,0.204813
4.505261,3.208123,-3.145142,0.5,0.056156
4.455261,3.20816,-3.139527,0.491331,-0.741849
4.311374,3.223624,-3.364426,0.470677,-1.253244
4.048821,3.589954,-4.635141,0.493137,-0.609477
4.046515,3.639206,-4.696089,0.5,-0.578101
4.047145,3.689195,-4.753899,0.5,-0.151426
4.055295,3.838937,-4.776516,0.48278,-0.118199
4.058673,3.887096,-4.788336,0.5,0.066409
4.062302,3.936964,-4.781695,0.5,0.018412
4.065718,3.986848,-4.779854,0.5,-0.04348
5.071522,3.98582,3.034347,0.26686,-2.0
5.014493,4.004656,2.634347,0.38361,-1.681667
4.844677,4.258334,1.907091,0.488801,-0.359075
4.829379,4.304756,1.871183,0.483877,-0.283813
4.815719,4.351174,1.842802,0.5,-0.613119
4.80377,4.399717,1.78149,0.472919,-0.566948
4.795196,4.446219,1.724795,0.459507,-0.459469
4.789193,4.491771,1.678848,0.5,-0.311414
4.784575,4.541556,1.647707,0.5,0.291817
4.780007,4.591345,1.676889,0.466335,0.614514
4.773647,4.637535,1.73834,0.452028,1.064679
4.763753,4.68162,1.844808,0.459913,1.03464
4.730084,4.766067,2.061519,0.445323,1.444438
3.307079,4.895279,3.113326,0.494251,0.115396
3.257666,4.896391,3.124866,0.484496,-0.114191
3.209229,4.897477,3.113447,0.5,0.09377
3.159243,4.89865,3.122824,0.483249,0.04628
3.110925,4.899445,3.127452,0.476048,0.042592
3.063324,4.900017,3.131711,0.484224,0.367677
3.014906,4.899605,3.168479,0.481017,0.828968
2.707327,4.789795,3.770141,0.480146,0.808156
1.033188,3.354351,0.785537,0.31267,-2.0
1.088638,3.390622,0.385537,0.402842,-1.761323
2.78292,3.577261,0.69858,0.5,-0.630199
2.771532,4.253529,-0.873201,0.415391,1.315952
2.80023,4.223539,-0.741605,0.443064,0.951685
3.235622,1.212839,2.40197,0.483782,-0.412407
2.13189,2.138799,3.154209,0.498385,-0.378044
2.082055,2.139112,3.116404,0.5,0.184451
2.032063,2.13991,3.13485,0.497815,-0.015558
1.982282,2.140284,3.133294,0.5,0.077068
0.612275,2.000833,0.648936,0.481035,-0.460674
0.651256,2.029011,0.602869,0.5,-0.322694
0.692892,2.056692,0.570599,0.492929,-0.625792
2.261975,2.411627,0.293647,0.470704,0.604703
2.415441,2.48916,0.720219,0.435236,1.238841
5.790665,0.930486,0.908744,0.210861,2.0
5.817997,1.011411,1.508744,0.408288,1.87159
5.816712,1.05216,1.695903,0.380225,1.451518
5.809251,1.089409,1.841054,0.44197,1.185478
5.794957,1.131204,1.959602,0.473966,0.795714
5.177222,2.348679,2.126759,0.489942,0.818868
5.14969,2.38919,2.208645,0.459524,0.90858
2.918991,4.876565,-2.881297,0.469657,0.72936
2.474629,2.581912,-1.851939,0.422993,-1.606903
0.463027,2.429977,-3.447757,0.390129,-1.494649
0.292258,2.597356,-4.313217,0.449798,-0.968141
0.276808,2.63958,-4.410032,0.411333,-0.889436
0.309809,3.406168,-4.756948,0.5,0.161881
0.311632,3.456134,-4.74076,0.5,0.287634
0.312331,3.506127,-4.711996,0.5,0.100623
0.312309,3.951982,-4.731881,0.5,-0.115579
0.313573,4.001966,-4.743439,0.5,0.236045
0.314535,4.051956,-4.719835,0.486992,0.191233
0.314432,4.100654,-4.700711,0.5,0.008985
0.313825,4.15065,-4.699813,0.49663,0.030961
0.313124,4.200308,-4.696717,0.457147,-0.041991
2.737254,4.36901,1.589126,0.457769,0.230822
2.735887,4.414766,1.612208,0.5,0.149148
2.733445,4.464706,1.627123,0.5,0.235629
2.730042,4.514589,1.650686,0.5,-0.296438
2.732291,4.708197,1.398388,0.449898,-1.514827
5.375953,3.918168,-0.275638,0.499859,-0.313957
5.423831,3.903811,-0.307034,0.496229,-0.359212
5.470853,3.887967,-0.342955,0.455941,-0.494654
5.553324,3.852377,-0.504131,0.42224,-1.285489
5.737395,3.50912,-1.548469,0.5,-0.627787
5.736942,3.45913,-1.611247,0.490749,-0.686047
5.342797,3.197827,0.097608,0.493577,0.210937
5.047155,0.335684,0.310926,0.45676,0.851032
5.089994,0.351491,0.396029,0.5,0.871195
2.730218,4.550574,1.61891,0.493605,-0.439264
2.728927,4.599913,1.574984,0.488089,-0.659116
2.730331,4.648693,1.509072,0.489421,-0.934301
2.316714,3.088547,-0.385093,0.46024,-0.882232
2.975474,1.071176,-1.911476,0.45039,1.060821
2.962703,1.028008,-1.805394,0.481796,0.990102
2.94913,0.93211,-1.628569,0.469394,0.581032
2.947782,0.885197,-1.570466,0.47638,0.229311
2.948344,0.837563,-1.547535,0.46436,-0.319763
2.948682,0.79113,-1.579511,0.424102,-0.657579
2.946918,0.748764,-1.645269,0.478439,-0.750423
2.803315,4.249117,2.428045,0.45043,-1.261498
4.592036,5.797806,-2.051945,0.399775,-1.473192
4.570996,5.763856,-2.199264,0.439331,-1.430908
2.211002,3.486847,-2.041199,0.498032,-0.6812
5.21563,1.04358,-2.08006,0.420596,1.167359
5.197312,1.005746,-1.963324,0.414902,1.073013
5.183526,0.966634,-1.856023,0.454856,0.670078
5.172199,0.92259,-1.789015,0.492918,0.757572
5.16336,0.874109,-1.713258,0.460321,0.66088
5.158334,0.828361,-1.64717,0.475016,0.445673
5.155167,0.73094,-1.562965,0.5,0.363526
5.156467,0.680959,-1.526613,0.494382,-0.098394
5.158407,0.631559,-1.536452,0.463976,-0.466977
5.158917,0.585169,-1.58315,0.474499,-0.566031
5.156989,0.537764,-1.639753,0.485243,-0.784355
5.151752,0.489536,-1.718188,0.386082,-1.652186
5.14296,0.451987,-1.883407,0.388783,-1.606357
5.12809,0.416111,-2.044043,0.375491,-1.657452
3.246445,1.23154,-4.080287,0.486477,-0.428653
4.765977,3.174325,0.091667,0.476812,-0.026349
5.062966,3.194133,0.032668,0.499779,-0.075126
5.162892,3.197309,0.044117,0.5,-0.164424
5.780761,3.541678,1.36982,0.5,0.331207
5.789929,3.590828,1.402941,0.496635,0.456995
5.797105,3.639966,1.44864,0.5,0.310901
5.802425,3.68968,1.47973,0.5,0.212982
5.806442,3.739518,1.501028,0.5,0.206933
5.809411,3.789428,1.521722,0.492338,0.169351
4.794821,0.200093,-0.350617,0.5,0.510224
0.576789,1.445413,2.152441,0.487616,-0.951055
0.551975,1.487368,2.057336,0.485951,-0.894369
0.176995,4.247066,-0.980987,0.43442,-1.256823
0.198829,4.209542,-1.106669,0.404649,-1.180875
0.214766,4.172373,-1.224757,0.451315,-1.115959
0.227676,4.129152,-1.336353,0.459192,-0.651545
0.591451,1.449495,-0.83862,0.474309,1.03232
1.501357,5.762564,-2.835991,0.183519,2.0
1.468765,5.744425,-2.435991,0.294952,2.0
1.448368,5.723188,-2.235991,0.3446,2.0
1.504604,4.997537,-1.461377,0.46603,-0.4317
1.508692,4.951117,-1.504547,0.5,-0.228694
1.511431,4.901194,-1.527416,0.5,-0.197313
1.513107,4.851222,-1.547148,0.494977,-0.325157
1.513473,4.801728,-1.579663,0.5,-0.044879
1.512917,4.751731,-1.584151,0.473269,-0.151985
1.511925,4.704415,-1.59935,0.484998,-0.044077
1.502952,4.46306,-1.608046,0.5,-0.07242
1.500909,4.413102,-1.615288,0.482462,0.114731
1.49904,4.364892,-1.603815,0.472668,0.134946
1.498885,4.020305,-1.585344,0.5,0.097541
1.498395,3.771043,-1.56394,0.5,-0.077803
