x,y,theta,v,omega
1.696993,0.401910,-0.338900,0.411703,1.064625
1.736476,0.390314,-0.232438,0.479010,1.036773
1.783577,0.381714,-0.128760,0.462658,0.975842
1.829676,0.378019,-0.031176,0.458507,0.549491
1.875521,0.377850,0.023773,0.500000,0.514985
1.925454,0.380325,0.075271,0.500000,0.416410
1.975220,0.385121,0.116912,0.484005,0.250997
2.023214,0.391370,0.142012,0.476501,0.077011
2.070358,0.398295,0.149713,0.500000,0.214971
2.119715,0.406284,0.171210,0.500000,-0.006074
2.168986,0.414788,0.170603,0.500000,0.003575
2.218259,0.423285,0.170960,0.500000,-0.050535
2.267551,0.431667,0.165907,0.485248,-0.007378
2.315413,0.439663,0.165169,0.500000,-0.050568
2.364753,0.447760,0.160112,0.487972,-0.223247
2.413009,0.455001,0.137787,0.471816,-0.011617
2.459747,0.461454,0.136626,0.500000,-0.098151
2.509314,0.468021,0.126811,0.478269,0.009186
2.556754,0.474092,0.127729,0.474003,-0.169941
2.603817,0.479730,0.110735,0.500000,-0.082971
2.653533,0.485049,0.102438,0.499276,0.402151
2.703083,0.491152,0.142653,0.484744,0.654703
2.750805,0.499609,0.208124,0.480081,0.846509
2.797302,0.511503,0.292774,0.449078,1.093263
2.839505,0.526786,0.402101,0.457363,1.291464
2.880322,0.547350,0.531247,0.449241,1.456800
2.917263,0.572845,0.676927,0.436835,1.441771
2.949227,0.602564,0.821104,0.394161,1.395235
2.973990,0.633189,0.960628,0.418446,1.158464
2.995929,0.668794,1.076474,0.449073,1.138733
3.014940,0.709452,1.190347,0.432334,0.989176
3.028985,0.750322,1.289265,0.468184,1.006109
3.039710,0.795875,1.389876,0.500000,0.809251
3.046708,0.845369,1.470801,0.500000,0.810254
3.049679,0.895267,1.551827,0.500000,0.257374
3.049984,0.945265,1.577564,0.500000,0.466632
3.048480,0.995238,1.624227,0.500000,0.340255
3.044960,1.045111,1.658253,0.500000,0.219091
3.040048,1.094868,1.680162,0.492507,-0.101436
3.034921,1.143851,1.670018,0.497640,-0.012972
3.030023,1.193373,1.668721,0.500000,-0.002303
3.025141,1.243134,1.668491,0.500000,-0.101655
3.020517,1.292920,1.658325,0.489744,-0.034076
3.016319,1.341714,1.654918,0.470135,-0.032774
3.012445,1.388568,1.651640,0.497549,-0.209326
3.008946,1.438199,1.630708,0.451841,-0.018425
3.006283,1.483304,1.628865,0.493725,-0.142865
3.003769,1.532612,1.614578,0.495044,0.105329
3.001342,1.582057,1.625111,0.498389,-0.115337
2.998924,1.631837,1.613578,0.470174,0.118886
2.996634,1.678798,1.625466,0.500000,0.226853
2.993335,1.728688,1.648152,0.498320,0.348384
2.988620,1.778294,1.682990,0.500000,0.414728
2.981993,1.827849,1.724463,0.489973,0.270912
2.973839,1.876162,1.751554,0.500000,0.308835
2.964092,1.925201,1.782438,0.482484,0.544600
2.952678,1.972073,1.836898,0.467292,0.606691
2.939030,2.016757,1.897567,0.486770,0.437250
2.922402,2.062502,1.941292,0.500000,0.391287
2.903391,2.108744,1.980420,0.500000,0.427445
2.882504,2.154168,2.023165,0.486454,0.124361
2.860970,2.197787,2.035601,0.470067,0.416198
2.839031,2.239356,2.077221,0.497221,0.181946
2.814519,2.282615,2.095415,0.500000,0.032890
2.789403,2.325850,2.098704,0.487448,0.097590
2.764644,2.367838,2.108463,0.500000,0.042645
2.738946,2.410729,2.112728,0.487447,-0.076110
2.713963,2.452584,2.105117,0.500000,0.170454
2.688135,2.495396,2.122162,0.490432,0.048310
2.662343,2.537109,2.126993,0.474147,-0.047311
2.637405,2.577436,2.122262,0.500000,-0.114358
2.611452,2.620173,2.110826,0.500000,-0.391172
2.586589,2.663549,2.071709,0.500000,-0.441268
2.563553,2.707922,2.027582,0.500000,-0.503414
2.542639,2.753332,1.977241,0.476805,-0.634923
2.525191,2.797697,1.913749,0.500000,-0.538463
2.509653,2.845215,1.859902,0.449078,-0.580272
2.498106,2.888606,1.801875,0.500000,-0.505741
2.487890,2.937546,1.751301,0.500000,-0.298919
2.479650,2.986860,1.721409,0.491276,-0.424305
2.473311,3.035573,1.678979,0.476135,-0.377170
2.469064,3.082994,1.641262,0.468409,-0.110304
2.466024,3.129736,1.630231,0.500000,-0.336075
2.463893,3.179688,1.596624,0.475724,-0.303549
2.463386,3.227256,1.566269,0.480668,-0.347655
2.464439,3.275309,1.531503,0.477050,0.180814
2.465882,3.322992,1.549585,0.493018,0.126753
2.466616,3.372288,1.562260,0.490164,0.213658
2.466510,3.421303,1.583626,0.500000,-0.034410
2.465955,3.471300,1.580185,0.500000,-0.004759
2.465497,3.521298,1.579709,0.475494,0.065361
2.464918,3.568844,1.586245,0.499149,0.149801
2.463773,3.618745,1.601225,0.481558,0.095648
2.462078,3.666871,1.610790,0.500000,-0.072064
2.460259,3.716838,1.603583,0.500000,-0.067457
2.458789,3.766816,1.596838,0.500000,-0.031636
2.457566,3.816801,1.593674,0.490816,-0.051177
2.456568,3.865872,1.588556,0.492830,0.078109
2.455501,3.915144,1.596367,0.500000,0.007983
2.454202,3.965127,1.597166,0.496059,-0.066626
2.453060,4.014719,1.590503,0.483044,0.376543
2.451199,4.062985,1.628157,0.500000,-0.069769
2.448507,4.112912,1.621180,0.473236,-0.077241
2.446306,4.160185,1.613456,0.499510,0.040855
2.444074,4.210086,1.617542,0.485086,-0.102567
2.442055,4.258552,1.607285,0.500000,0.097081
2.439989,4.308509,1.616993,0.492477,0.006109
2.437700,4.357704,1.617604,0.489385,-0.268959
