x,y,theta,v,omega
1.417276999999999898e+00,8.834880000000000511e-01,6.691930000000000378e-01,4.864450000000000163e-01,-3.355899999999999855e-02
1.455481000000000025e+00,9.136009999999999964e-01,6.658370000000000122e-01,5.000000000000000000e-01,-3.250000000000000111e-02
1.494850999999999930e+00,9.444219999999999837e-01,6.625870000000000370e-01,5.000000000000000000e-01,-3.073800000000000143e-02
1.534318000000000071e+00,9.751199999999999868e-01,6.595130000000000159e-01,5.000000000000000000e-01,-2.834499999999999867e-02
1.573876000000000053e+00,1.005700000000000038e+00,6.566779999999999839e-01,5.000000000000000000e-01,-2.539900000000000144e-02
1.613515999999999950e+00,1.036173999999999928e+00,6.541390000000000260e-01,5.000000000000000000e-01,-2.195000000000000076e-02
1.653227999999999920e+00,1.066554999999999920e+00,6.519430000000000502e-01,5.000000000000000000e-01,-1.801399999999999876e-02
1.693000999999999978e+00,1.096854999999999913e+00,6.501419999999999977e-01,5.000000000000000000e-01,-1.355999999999999914e-02
1.732820999999999945e+00,1.127092999999999900e+00,6.487859999999999738e-01,5.000000000000000000e-01,-8.514000000000000734e-03
1.772675000000000001e+00,1.157286999999999955e+00,6.479350000000000387e-01,5.000000000000000000e-01,-2.766999999999999928e-03
1.812545999999999990e+00,1.187459000000000042e+00,6.476579999999999560e-01,5.000000000000000000e-01,3.814999999999999815e-03
1.852414999999999923e+00,1.217632000000000048e+00,6.480390000000000317e-01,5.000000000000000000e-01,1.137400000000000043e-02
1.892260999999999971e+00,1.247835999999999945e+00,6.491770000000000040e-01,5.000000000000000000e-01,2.004299999999999832e-02
1.932060000000000111e+00,1.278102999999999989e+00,6.511810000000000098e-01,5.000000000000000000e-01,2.992200000000000068e-02
1.971783000000000063e+00,1.308467999999999964e+00,6.541730000000000045e-01,5.000000000000000000e-01,4.105099999999999721e-02
2.011397999999999797e+00,1.338975000000000026e+00,6.582780000000000298e-01,5.000000000000000000e-01,5.338799999999999796e-02
2.050867999999999913e+00,1.369668000000000108e+00,6.636170000000000124e-01,5.000000000000000000e-01,6.677700000000000302e-02
2.090152999999999928e+00,1.400598000000000010e+00,6.702949999999999742e-01,5.000000000000000000e-01,8.092499999999999694e-02
2.600093999999999905e+00,1.878759999999999986e+00,8.360600000000000254e-01,5.000000000000000000e-01,6.673700000000000465e-02
2.633488999999999969e+00,1.915972000000000008e+00,8.427339999999999831e-01,5.000000000000000000e-01,5.379199999999999954e-02
2.666659999999999808e+00,1.953384999999999927e+00,8.481130000000000058e-01,5.000000000000000000e-01,4.209500000000000047e-02
